model,condition,price,quantity,seller,geographic_region,listing_age,source_url,source_type,bulk_notes,title,canonical_model,match_type,match_score,is_valid_gpu,unknown_reason,match_notes,vram_gb,tdp_w,mig_capable,slots,form_factor,nvlink,generation,cuda_cores,pcie_generation,notes,warnings,quantization_capacity,raw_score,quantization_score,score,final_score
Lenovo NVIDIA RTX A5500,New,4700.99,Unavailable,Wamatek,USA,Current,https://wamatek.com/products/lenovo-nvidia-rtx-a5500-graphic-card-24-gb-gddr6,Shopify_Wamatek,"SKU: 195892072874, Vendor: Lenovo Group Limited",Lenovo NVIDIA RTX A5500 Graphic Card - 24 GB GDDR6,A1000,fuzzy,0.7000000000000001,True,,fuzzy: matched 'NVIDIA RTX A1000' with score 87.5
Cisco NVIDIA Tesla A100,New,34201.99,Unavailable,Wamatek,USA,Current,https://wamatek.com/products/cisco-nvidia-tesla-a100-graphic-card-80-gb-1,Shopify_Wamatek,"SKU: UCSX-GPUA100-80-D, Vendor: Cisco Systems, Inc",Cisco NVIDIA Tesla A100 Graphic Card - 80 GB,A1000,regex,0.9,True,,regex: matched pattern 'A1000' on text 'A100'
NVIDIA A16 64GB PCIe,New,7187.99,Unavailable,Wamatek,USA,Current,https://wamatek.com/products/nvidia-a16-64gb-pcie-noncec-a,Shopify_Wamatek,"SKU: 190017546308, Vendor: Hewlett Packard Enterprise",NVIDIA A16 64GB PCIe NonCEC A,A2,fuzzy,0.7529411764705882,True,,fuzzy: matched 'NVIDIA A2' with score 94.1
Lenovo NVIDIA A16 Graphic,New,9907.99,Unavailable,Wamatek,USA,Current,https://wamatek.com/products/lenovo-nvidia-a16-graphic-card-64-gb-gddr6-full-height,Shopify_Wamatek,"SKU: 889488591879, Vendor: Lenovo Group Limited",Lenovo NVIDIA A16 Graphic Card - 64 GB GDDR6 - Full-height,A2,fuzzy,0.7111111111111111,True,,fuzzy: matched 'NVIDIA A2' with score 88.9
Cisco NVIDIA A16 Graphic,New,6286.99,Unavailable,Wamatek,USA,Current,https://wamatek.com/products/cisco-nvidia-a16-graphic-card-64-gb-2,Shopify_Wamatek,"SKU: UCSX-GPU-A16-D, Vendor: Cisco Systems, Inc",Cisco NVIDIA A16 Graphic Card - 64 GB,A2,fuzzy,0.7111111111111111,True,,fuzzy: matched 'NVIDIA A2' with score 88.9
HPE NVIDIA A10 Graphic,New,8230.99,Unavailable,Wamatek,USA,Current,https://wamatek.com/products/hpe-nvidia-a10-graphic-card-24-gb-gddr6,Shopify_Wamatek,"SKU: 190017605517, Vendor: Hewlett Packard Enterprise",HPE NVIDIA A10 Graphic Card - 24 GB GDDR6,A40,fuzzy,0.7200000000000001,True,,fuzzy: matched 'NVIDIA A40' with score 90.0
MSI NVIDIA GeForce 210,New,108.99,Unavailable,Wamatek,USA,Current,https://wamatek.com/products/msi-nvidia-geforce-210-graphic-card-1-gb-gddr3-low-profile-1,Shopify_Wamatek,"SKU: 824241132142, Vendor: MSI",MSI NVIDIA GeForce 210 Graphic Card - 1 GB GDDR3 - Low-profile,GT_710,fuzzy,0.6476190476190476,True,,fuzzy: matched 'NVIDIA GeForce GT 710' with score 81.0
GTX 1070,New,504.99,Unavailable,Wamatek,USA,Current,https://wamatek.com/products/asus-rog-nvidia-geforce-gtx-1070-graphic-card-8-gb-gddr5,Shopify_Wamatek,"SKU: STRIX-GTX1070-O8G-GAMING, Vendor: ASUS Computer International",Asus ROG NVIDIA GeForce GTX 1070 Graphic Card - 8 GB GDDR5,GT_710,fuzzy,0.7619047619047619,True,,fuzzy: matched 'NVIDIA GeForce GT 710' with score 95.2
Lenovo NVIDIA L40S Graphic,New,50508.99,Unavailable,Wamatek,USA,Current,https://wamatek.com/products/lenovo-nvidia-l40s-graphic-card-48-gb,Shopify_Wamatek,"SKU: 889488712168, Vendor: Lenovo Group Limited",Lenovo NVIDIA L40S Graphic Card - 48 GB,L4,fuzzy,0.8,True,,fuzzy: matched 'L4' with score 100.0
Lenovo NVIDIA L40 Graphic,New,32418.99,Unavailable,Wamatek,USA,Current,https://wamatek.com/products/lenovo-nvidia-l40-graphic-card-48-gb,Shopify_Wamatek,"SKU: 889488666744, Vendor: Lenovo Group Limited",Lenovo NVIDIA L40 Graphic Card - 48 GB,L4,fuzzy,0.8,True,,fuzzy: matched 'L4' with score 100.0
HPE Ingram Micro Sourcing,New,612.99,Unavailable,Wamatek,USA,Current,https://wamatek.com/products/hpe-ingram-micro-sourcing-nvidia-grid-p4-graphic-card-8-gb-gddr5,Shopify_Wamatek,"SKU: Q0V79A-RF, Vendor: HPE SOURCING - CERTIFIED PRE-OWNED",HPE Ingram Micro Sourcing NVIDIA GRID P4 Graphic Card - 8 GB GDDR5,L4,fuzzy,0.6400000000000001,True,,fuzzy: matched 'NVIDIA L4' with score 80.0
Cisco NVIDIA L40 Graphic,New,18150.99,Unavailable,Wamatek,USA,Current,https://wamatek.com/products/cisco-nvidia-l40-graphic-card-48-gb-full-height,Shopify_Wamatek,"SKU: UCSX-GPU-L40, Vendor: Cisco Systems, Inc",Cisco NVIDIA L40 Graphic Card - 48 GB - Full-height,L4,fuzzy,0.8,True,,fuzzy: matched 'L4' with score 100.0
Hewlett Packard Enterprise Replacement,New,8156.99,Unavailable,Wamatek,USA,Current,https://wamatek.com/products/hewlett-packard-enterprise-replacement-parts-business-nvidia-tesla-m60ac-graphic-card,Shopify_Wamatek,"SKU: P03188-001, Vendor: HPE - Certified Genuine Parts",Hewlett Packard Enterprise Replacement Parts Business NVIDIA Tesla M60AC Graphic Card,M6,fuzzy,0.8,True,,fuzzy: matched 'M6' with score 100.0
NV RTX A400 4GB,New,192.99,Available,Wamatek,USA,Current,https://wamatek.com/products/nv-rtx-a400-4gb-gpu,Shopify_Wamatek,"SKU: 195892109709, Vendor: Lenovo",NV RTX A400 4GB GPU,RTX_4000_SFF_ADA,regex,0.9,True,,regex: matched pattern 'RTX_4000_SFF_ADA' on text 'RTX A400'
NVIDIA RTX A400 4GB,New,196.99,Unavailable,Wamatek,USA,Current,https://wamatek.com/products/nvidia-rtx-a400-4gb-4mdp-gfx,Shopify_Wamatek,"SKU: 198701689911, Vendor: HP INC. - NSB OPTIONS",NVIDIA RTX A400 4GB 4MDP GFX,RTX_4000_SFF_ADA,regex,0.9,True,,regex: matched pattern 'RTX_4000_SFF_ADA' on text 'RTX A400'
NVIDIA RTX A400 RETAIL,New,160.99,Unavailable,Wamatek,USA,Current,https://wamatek.com/products/nvidia-rtx-a400-retail-pack,Shopify_Wamatek,"SKU: 751492788067, Vendor: PNY QUADRO",NVIDIA RTX A400 RETAIL PACK,RTX_4000_SFF_ADA,regex,0.9,True,,regex: matched pattern 'RTX_4000_SFF_ADA' on text 'RTX A400'
Lenovo NVIDIA Quadro RTX,New,436.99,Unavailable,Wamatek,USA,Current,https://wamatek.com/products/lenovo-nvidia-quadro-rtx-t400-graphic-card-2-gb,Shopify_Wamatek,"SKU: 889488600366, Vendor: Lenovo Group Limited",Lenovo NVIDIA Quadro RTX T400 Graphic Card - 2 GB,RTX_4000_SFF_ADA,regex,0.9,True,,regex: matched pattern 'RTX_4000_SFF_ADA' on text 'RTX T400'
HP NVIDIA RTX A400,New,207.99,Unavailable,Wamatek,USA,Current,https://wamatek.com/products/hp-nvidia-rtx-a400-graphic-card-4-gb-gddr6,Shopify_Wamatek,"SKU: AV8J3AA, Vendor: HP Inc.",HP NVIDIA RTX A400 Graphic Card - 4 GB GDDR6,RTX_4000_SFF_ADA,regex,0.9,True,,regex: matched pattern 'RTX_4000_SFF_ADA' on text 'RTX A400'
RTX 4500,New,2230.99,Available,Wamatek,USA,Current,https://wamatek.com/products/pny-nvidia-quadro-rtx-4500-graphic-card-24-gb-gddr6,Shopify_Wamatek,"SKU: 751492779317, Vendor: PNY Technologies",PNY NVIDIA Quadro RTX 4500 Graphic Card - 24 GB GDDR6,RTX_5000_ADA,fuzzy,0.7000000000000001,True,,fuzzy: matched 'RTX 5000' with score 87.5
